Domain,URL,Title,Hits,date,Date Discovery,Content length,Type,source_file
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3224660-tiramisu-aux-fraises-julie-andrieu-prefere-ceci-au-cafe-pour-imbiber-ses-biscuits-c-est-plus-frais/,Le tiramisu aux fraises de Julie Andrieu a un petit truc en plus - c'est frais et bien fruité,218,28/04/2025 14:31,28/04/2025 14:31,442.0,article,top_urls_host_data_2025_07_04T15_55.csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3230078-mieux-que-la-moutarde-cet-ingredient-transforme-une-quiche-ordinaire-en-un-plat-vraiment-savoureux/,"Mieux que la moutarde, cet ingrédient transforme une quiche ordinaire en un plat vraiment savoureux",209,08/06/2025 08:15,08/06/2025 08:15,474.0,article,top_urls_host_data_2025_07_04T15_55.csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3226816-fini-le-gratin-de-courgettes-plein-d-eau-laurent-mariotte-a-une-solution-express-et-ultra-efficace/,"Fini le gratin de courgettes plein d'eau, Laurent Mariotte a une solution express et ultra efficace",204,06/05/2025 14:30,06/05/2025 14:30,451.0,article,top_urls_host_data_2025_07_04T15_55.csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3226860-moins-calorique-que-le-sucre-et-la-chantilly-ce-melange-rend-les-fraises-encore-meilleures/,"Oubliez le sucre, voici l'ingrédient ""magique"" qu'il suffit d'ajouter sur vos fraises pour les sublimer sans calories",204,11/05/2025 08:15,11/05/2025 08:15,370.0,article,top_urls_host_data_2025_07_04T15_55.csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3224694-sans-matieres-grasses-ce-fromage-frais-a-exactement-le-meme-gout-que-le-boursin/,"Sans matières grasses, ce fromage frais a exactement le même goût que le Boursin",191,16/04/2025 04:25,16/04/2025 04:25,446.0,article,top_urls_host_data_2025_07_04T15_55.csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3224982-pour-une-chantilly-maison-reussie-les-patissiers-de-chez-lenotre-recommandent-ce-type-de-creme/,"Pour une chantilly maison réussie, les pâtissiers de chez Lenôtre recommandent ce type de crème",184,19/04/2025 08:15,19/04/2025 08:15,444.0,article,top_urls_host_data_2025_07_04T15_55.csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3224746-oubliez-l-avocat-c-est-bien-plus-ecolo-de-preparer-un-guacamole-avec-ce-legume-de-printemps/,"Oubliez l'avocat, c'est bien plus écolo de préparer un guacamole avec ce légume de printemps",173,16/04/2025 16:56,16/04/2025 16:56,456.0,article,top_urls_host_data_2025_07_04T15_55.csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3225660-moins-calorique-que-le-riz-ou-les-pates-c-est-le-feculent-le-plus-leger-pour-preparer-une-salade-composee/,"Moins calorique que le riz ou les pâtes, c'est le féculent le plus léger pour préparer une salade composée",165,27/04/2025 14:30,27/04/2025 14:30,378.0,article,top_urls_host_data_2025_07_04T15_55.csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3223318-moins-cher-et-aussi-bon-que-le-gigot-d-agneau-ce-morceau-peu-connu-est-valide-par-laurent-mariotte/,"Moins cher que le gigot, ce morceau d'agneau peu connu est le préféré de Laurent Mariotte",164,06/04/2025 08:15,06/04/2025 08:15,440.0,article,top_urls_host_data_2025_07_04T15_55.csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/recette/3224312-tarte-au-citron-la-meilleure-recette,Tarte au citron : la meilleure recette,162,16/04/2025 09:17,16/04/2025 09:17,233.0,article,top_urls_host_data_2025_07_04T15_55.csv
